X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-7.863875,42.335505,Concello de Ourense,España,Ourense,Ourense,Casco Vello
-8.4659569,42.2262179,Gran Hotel,España,Pontevedra,Mondariz Balneario,O Pazo
-8.135832,43.391446,Castillo de Nogueirosa o de los Andrade,España,A Coruña,Puentedeume,O Castelo
-8.813329,42.518899,Pazo de Fefiñáns,España,Pontevedra,Cambados,Fefiñáns
-9.031791,43.111172,Castillo de Vimianzo,España,A Coruña,Vimianzo,Vilar
-8.468001,42.205878,Restos de antigua fortaleza,España,Pontevedra,Mondariz,A Pena
-8.573154,42.860952,Castillo de Rocha Forte,España,A Coruña,Santiago de Compostela,A Rocha Vella
-8.687644,42.877527,Torres de Altamira,España,A Coruña,Ames,Calo
-7.510893,42.524123,Castillo de Monforte,España,Lugo,Monforte de Lemos,Entorno rural
-7.415758,42.375902,Castillo de Castro Caldelas,España,Ourense,O Castro de Caldelas,O Real da Pousa
-8.725112,42.676135,Torres del Oeste,España,Pontevedra,Catoira,O Progreso
-8.606102,42.204037,Pazo de Mos,España,Pontevedra,Mos,A Rúa
-7.243866,42.450387,Castillo de Torrenovaes,España,Lugo,Quiroga,Os Novais
-9.185159,43.123655,Castillo del Soberano,España,A Coruña,Camariñas,O Castelo
-9.260876,42.904601,Castillo de San Carlos,España,A Coruña,Fisterra,A Insua
-8.586957,42.161558,Castelo de Cans,España,Pontevedra,Porriño,A Buraca
-7.672721,42.088009,Torre da Pena da Portela,España,Ourense,Sarreaus,Trandeiras
-7.115672,42.180532,Torre de Viana do Bolo,España,Ourense,Viana del Bollo,El Castilllo
-7.744227,42.123264,Torre do Castro,España,Ourense,Sandiás,As Pegas
-7.948195,42.859824,Castillo de Pambre,España,Lugo,Palas de Rei,Pambre
-8.849817,42.124469,Castillo fortaleza de Monterreal,España,Pontevedra,Baiona,A Anunciada
-7.567458,42.56884,Pazo de Tor,España,Lugo,Monforte de Lemos,Tor
-8.761874,42.134145,Outeiro dos Mouros,España,Pontevedra,Nigrán,Nandín
-8.143924,42.286751,Castelo de los Sarmiento,España,Ourense,Ribadavia,Figueirido
-7.418572,42.776607,Castillo de Sarria,España,Lugo,Sarria,A Áspera
-7.326487,43.032322,Torre de Castroverde,España,Lugo,Castroverde,Castroverde
-8.172027,43.407697,Torre de los Andrade,España,A Coruña,Puentedeume,Souto da Vila
-8.585694,42.197314,Castelo de Mos,España,Pontevedra,Mos,As Regadas
-8.865975,41.994586,Castelo de Chavella,España,Pontevedra,O Arrabal,A Ovellariza
-8.590278,42.326948,A Peneda,España,Pontevedra,Redondela,Arcade de Riba
-8.864514,43.297344,Torres de Mens,España,A Coruña,Malpica,Suhorta
-8.347896,42.387873,Castelo do Suido,España,Pontevedra,A Lama,Pigarzos
-8.555039,42.083942,Castelo de Entenza,España,Pontevedra,A Esfarrapada,O Castelo
-8.387855,43.365572,Castelo de San Antón,España,A Coruña,La Coruña,Ciudad Vieja
-8.504469,42.398375,O Casteliño,España,Pontevedra,Cerdedo Cotobade,Entorno rural
-8.502869,42.400775,O Castelo Grande,España,Pontevedra,Ponte Caldelas,Gradín
-8.234879,42.148298,Torre de Fornelos,España,Pontevedra,Crecente,A Ponte Ribadil
-8.643006,42.432764,Edificio García Flórez,España,Pontevedra,Pontevedra,Entorno rural
-7.955104,42.166228,Torre de Vilanova,España,Ourense,Celanova,Vilanova dos Infantes
-8.648211,42.4302,Edificio da Deputación,España,Pontevedra,Pontevedra,Moureira de Abaixo
-8.646848,42.431977,Concello de Pontevedra,España,Pontevedra,Pontevedra,Moureira de Arriba
-8.643284,42.43163,Edificio de Facenda,España,Pontevedra,Pontevedra,Entorno rural
-8.626745,42.346529,A Cerca,España,Pontevedra,O Toural,Paredes
-7.454041,41.95057,Forta da Atalaia,España,Ourense,Monterrei,Monterrei
-8.281699,43.464409,Castillo de San Felipe,España,A Coruña,Ferrol,San Cristóbal
-7.449342,41.946883,Castillo de Monterrei,España,Ourense,Monterrei,Monterrei
-8.711921,42.225778,Pazo de San Roque,España,Pontevedra,Vigo,Santiago de Vigo
-8.408588,43.249532,Torre de Celas,España,A Coruña,Culleredo,Celas
-8.519372,42.443023,Casa rectoral de San Martiño de Borela,España,Pontevedra,Cerdedo Cotobade,A Aldea de Abaixo
-8.664667,42.409457,Pazo de Lourizán,España,Pontevedra,Pontevedra,A Gandarela
-7.658936,42.27049,Castillo del Conde San Román o de Maceda,España,Ourense,Maceda,A Eirexa
-8.476338,42.683114,Pazo - Torre de Guimarei,España,Pontevedra,A Estrada,A Torre
-8.727629,42.213478,Pazo Quiñones de León,España,Pontevedra,Vigo,A Corredoura
-7.702772,42.518506,Torre de Marce,España,Lugo,Pantón,Marce
-7.849163,42.013523,Torre da Forxa,España,Ourense,Forxa,A Torre
-7.094969,42.307872,Torre de O Bolo,España,Ourense,El Bollo,El Bollo
-8.496742,42.080485,Fortaleza de Salvaterra,España,Pontevedra,Salvatierra de Miño,Os Feás
-8.753504,41.940911,Fortaleza de San Lorenzo,España,Pontevedra,Tomiño,Castillo de San Lorenzo
-7.408897,43.527677,Torre de Castro de Ouro,España,Lugo,A Seara,A Costoira
-8.872715,41.904601,Castillo de Santa Cruz,España,Pontevedra,A Guarda,Entorno rural
-7.759135,42.724045,Pazo de San Pedro de Bembibre,España,Lugo,Taboada,San Pedro
-8.736004,42.172644,Monte Alba,España,Pontevedra,Vigo,As Barrocas
-7.834819,42.789956,Pazo da Laxe,España,Lugo,Monterroso,As Castedas
-8.568151,42.329681,Castelo de Soutomaior,España,Pontevedra,O Rial,Lourido
-8.463884,42.206086,Castelo de Sobroso,España,Pontevedra,Mondariz,A Pena
-7.992811,43.550053,Castillo de Moeche,España,A Coruña,Moeche,Rañal
-8.726353,42.231855,Castelo do Castro,España,Pontevedra,Vigo,O Berbés
-8.478415,42.189658,O Picaraña,España,Pontevedra,Ponteareas,O Correlo
-7.682314,43.297989,Torre de los Andrade,España,Lugo,Vilalba,As Caivancas de Riba
-8.821627,42.507475,Torre de San Sadurniño,España,Pontevedra,Cambados,A Alameda Vella
-7.820667,43.007111,Castillo de San Paio de Narla,España,Lugo,Friol,Macedo
-8.446491,42.807024,Fortaleza del Montesagro,España,A Coruña,Boqueixón,Entorno rural
-8.652012,42.862888,Pazo de la Peregrina,España,A Coruña,Ames,O Porto
-8.394672,42.746382,Pazo de Oca,España,Pontevedra,A Estrada,Mato
-8.350081,43.348557,Castillo de Santa Cruz,España,A Coruña,O Porto de Santa Cruz,Coruxo de Abaixo
-8.814968,42.662979,Castelo da Lúa,España,A Coruña,Rianxo,O Bosque
-7.589064,42.000325,Castillo de Canderrei,España,Ourense,Trasmiras,O Castelo
-8.00846,42.323124,Torre de Puga,España,Ourense,Toén,A Estrada
-8.768509,42.59268,Pazo de Vista Alegre,España,Pontevedra,Vilagarcía,O Porto do Río
-8.514292,42.5107,Pazo de Bermúdez de Castro,España,Pontevedra,Cerdedo Cotobade,Barbeitos
-8.007162,42.322548,Pazo de Olivar,España,Ourense,Toén,O Olivar
-8.880206,41.902588,Atalaia - Museo do Mar,España,Pontevedra,A Guarda,Entorno rural
-8.0916828,42.245524,Torre de Sande,España,Ourense,Outeiro Cruz,O Rial
-8.2844263,43.4597256,Punta de San Martiño,España,A Coruña,Ferrol,San Cristóbal
-8.2748079,43.4625447,Castillo de A Palma,España,A Coruña,Mugardos,A Redonda
