X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-7.522938,42.326285,Embalse del Mao o Encoro de Leboreiro,España,Ourense,Montederramo,As Poulas
-8.0972882,41.9350665,Pozas dos Cirolos,España,Ourense,A Terrachán,O Casal
-8.0896633,41.9518643,Fervenza Pozo Caído,España,Ourense,Entrimo,Entorno rural
-8.44749,42.083629,Fervenza y molino de A Ceña o del Xuliana,España,Pontevedra,As Neves,O Outeiro
-8.271998,42.757022,Fervenza do Toxa,España,Pontevedra,Silleda,Quintás
-8.683204,42.189117,Fervenza de Bouzafría,España,Pontevedra,Vigo,A Carboeira
-8.681784,42.2972,Fervenza da Poza da Moura,España,Pontevedra,Moaña,Verdeal
-7.080565,42.569306,Fervenza de Vieiros,España,Lugo,Quiroga,Vieiros
-9.11711,42.912842,Fervenza de Ezaro,España,A Coruña,Dumbría,A Croa
-8.110143,41.846448,Corga da Fecha,España,Ourense,Lobios,Entorno rural
-8.226989,42.272082,Fervenza de Tourón,España,Ourense,Melón,As Mestas
-8.622659,42.606,Fervenza de Segade,España,Pontevedra,Caldas de Reis,Segade de Arriba
-8.630797,42.555644,Parque do Río Barosa,España,Pontevedra,Barro,Barro
-7.236234,43.521405,Fervenza de Sto Estevo do Ermo,España,Lugo,Barreiros,San Cosme
-7.462556,42.381546,Fervenzas do Cachón,España,Ourense,A Teixeira,A Carosa
-7.984135,42.400127,Fervenza do Viñao,España,Ourense,Amoeiro,O Burguete
-8.584709,42.168365,Fervenza da Galomeira,España,Pontevedra,Porriño,As Laxes
-7.947465,42.995786,Fervenzas de Brañas,España,A Coruña,Toques,Arriba
-7.047692,43.094495,Seimeira de Vilagocende,España,Lugo,A Fonsagrada,Vilagocende
-8.401775,42.382275,Fervenza da Freixa,España,Pontevedra,A Lama,Liñares
-8.121235,43.481713,Fervenza do Belelle,España,A Coruña,Fene,Marraxón
-8.517825,42.378883,Fervenza de A Roca,España,Pontevedra,Ponte Caldelas,A Roca
-7.985762,43.233439,Fervenza do Rego da Palanca,España,A Coruña,Aranga,Pedramaior
-8.678946,43.123764,Fervenza de Entrecruces o San Paio,España,A Coruña,Carballo,Sabadín
-8.190216,42.399868,Encoro de Albarellos,España,Ourense,Leiro,Nogueira
-8.767821,43.093069,Fervenza del Río Mira,España,A Coruña,Santa Comba,A Rabadeira
-8.662054,43.157791,Fervenza de Rus,España,A Coruña,Carballo,Ribeira
-7.362426,43.448489,As Fervenzas do Tronceda,España,Lugo,Mondoñedo,A Pontenova
-8.724247,42.153766,Presa de Vincios,España,Pontevedra,Gondomar,A Fraga
-8.699969,42.158003,Encoro de Zamáns,España,Pontevedra,Vigo,Vilaverde
-7.442014,43.570277,Fervenza do Pozo da Onza,España,Lugo,O Valadouro,A Amarela
-8.116541,42.292354,Encoro de Castrelo,España,Ourense,Ribadavia,Santa Cristina
-8.147049,42.120827,Fervenza y Muíños do Río Gorgua,España,Ourense,San Roque de Crespos,Vilar
-8.900347,42.707038,Fervenza do Cadarnoxo,España,A Coruña,Boiro,Cadarnoxo
-8.046908,43.265562,Fervenza do Río Zarzo,España,A Coruña,Irixoa,A Igrexa
-9.011042,42.987871,Encoro da Fervenza,España,A Coruña,Dumbría,O Couquiño
