X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-8.217989,42.686844,Iglesia de Santiago de Taboada,España,Pontevedra,Silleda,Eirexe
-7.4821991,42.4158768,Iglesia de Doade,España,Lugo,Sober,Lobios
-8.0839634,41.9043292,Iglesia de San Miguel,España,Ourense,Fondevila,Zapateiros
-8.0538108,42.4726805,Monasterio de Lobás (Ruinas),España,Ourense,O Carballiño,Boedes
-8.700862,42.648741,Ermita de San Cibrán,España,Pontevedra,Catoira,Portocelo
-8.7866217,42.5854048,Iglesia de San Martiño de Sobrán,España,Pontevedra,Vilaxoán,O Castelete
-8.42274,42.112861,Iglesia de San Xoán de Rubiós,España,Pontevedra,As Neves,A Rata
-8.428434,42.12409,Ermita de San Bartolomé,España,Pontevedra,As Neves,A Rata
-8.395653,42.107779,Iglesia de Santiago de Ribarteme,España,Pontevedra,As Neves,A Costa
-8.438257,42.08171,Ermita de Santa Mariña - Área Recreativa y playa fluvial,España,Pontevedra,As Neves,O Pedroso
-8.395787,42.115153,Iglesia San Xosé de Ribarteme,España,Pontevedra,As Neves,Sancharredonda
-9.203899,43.131405,Virxe do Monte,España,A Coruña,Camariñas,Lago
-8.403906,42.157538,Iglesia Santa Eulalia de Batalláns,España,Pontevedra,As Neves,O Coto
-8.430887,42.125005,Iglesia Santa María de Taboexa,España,Pontevedra,As Neves,A Rata
-8.68672,42.203902,Iglesia de Santiago Maior de Bembrive,España,Pontevedra,Vigo,Os Ríos
-8.315454,42.115244,Iglesia de Santa María de Arbo,España,Pontevedra,O Pazo,A Granxa
-7.984193,43.708982,San Andrés de Teixido (149 m),España,A Coruña,Cedeira,Santo André de Teixido
-8.823348,42.145633,Templo Votivo del Mar,España,Pontevedra,Nigrán,A Madorra
-9.219764,43.112234,Virxe da Barca,España,A Coruña,Muxía,A Gurita
-9.090588,42.823224,Iglesia de Sta Comba,España,A Coruña,Carnota,Pedramarrada
-7.993063,43.54862,Iglesia de San Xurxo,España,A Coruña,Moeche,Rañal
-8.760215,42.515778,Sta Baia de Ribadumia,España,Pontevedra,A Escusa,A Figueira
-8.544702,42.880559,Catedral de Santiago,España,A Coruña,Santiago de Compostela,O Ensanche
-8.701851,42.255482,Ermita de la Guía,España,Pontevedra,Vigo,Fontáns
-7.994218,43.682828,Capela de San Roque,España,A Coruña,Cedeira,O Formigueiro
-8.800276,42.693732,Sta. Baia de Araño,España,A Coruña,Rianxo,O Agro da Moa
-7.987636,41.94682,Ermita da Clamadoira,España,Ourense,Mugueimes,As Carreiras
-8.383797,42.274755,Ermita da Guía de Piñeiro,España,Pontevedra,Covelo,O Zacalledo
-8.847836,42.694852,San Pedro de Bealo,España,A Coruña,Boiro,O Valiño
-7.36261,43.428143,Catedral de Mondoñedo,España,Lugo,Mondoñedo,Os Muíños
-8.8451,42.700831,San Ramón de Bealo,España,A Coruña,Boiro,Bealo
-8.752809,42.326701,Iglesia de Sta Mª de Cela,España,Pontevedra,Bueu,Igrexario
-7.794765,43.171425,Capela de San Alberte,España,Lugo,Guitiriz,Alto de Roca
-8.412465,42.135127,San Nomedio,España,Pontevedra,As Neves,O Cotiño
-7.217045,42.432365,Capela das Farrapas,España,Lugo,Quiroga,Bendilló
-7.894517,43.1827,Iglesia de Sta María de Lagostelle,España,Lugo,Guitiriz,A Torre
-7.236927,43.523131,Ermita Sto Estevo de Ermo,España,Lugo,Barreiros,San Cosme
-7.41434,42.374286,Santuario dos Remedios,España,Ourense,O Castro de Caldelas,O Real da Pousa
-8.4906435,42.1037957,Capela de Monte Castelo,España,Pontevedra,Salvatierra de Miño,Bouza do Viso
-7.043243,42.707958,Iglesia do Cebreiro,España,Lugo,Piedrafita del Cebrero,O Cebreiro
-8.672505,42.138593,Virxe das Neves,España,Pontevedra,Mos,Erville
-7.558672,43.011293,Iglesia de San Pedro,España,Lugo,Lugo,Casco Vello
-7.288967,42.348588,Capela da Encarnación,España,Ourense,A Pobra de Trives,A Ponte
-7.370215,43.428237,Santuario de Os Remedios,España,Lugo,Mondoñedo,As Carroceiras
-7.869097,42.343767,Capilla dos Remedios,España,Ourense,Ourense,A Ponte
-8.605424,42.20383,Iglesia de Sta. Baia de Mos,España,Pontevedra,Mos,A Rúa
-8.603828,42.642759,San Fins de Estacas,España,Pontevedra,Cuntis,Casal do Eirigo
-8.685211,42.871609,Iglesia de San Fins,España,A Coruña,Pedrouzos,A Igrexa
-7.39638,42.11525,Iglesia de Camba,España,Ourense,Laza,Camba
-7.13868,42.292636,Santuario das Ermidas,España,Ourense,El Bollo,As Ermidas
-8.109235,42.20864,Nosa Señora do Val,España,Ourense,Sobrado,O Monte
-7.450395,42.765172,Iglesia de Barbadelo,España,Lugo,Sarria,O Mosteiro
-7.944077,43.029848,Santa Columba das Pías,España,A Coruña,Sobrado,Abeledo
-7.809544,42.893245,Iglesia de San Salvador de Donas,España,Lugo,Palas de Rei,Vilar de Donas
-8.271307,42.313419,Ermita da Xestosa,España,Ourense,Avión,Caseiro
-7.324842,42.733245,Capela do Ciprés,España,Lugo,Samos,O Outeiro
-7.615603,42.807695,Iglesia de San Juan,España,Lugo,Portomarín,O Molidao
-7.629819,42.768728,Ermita de Penaredonda,España,Lugo,Portomarín,Sabadelle
-7.784216,43.393765,Iglesia de Cabreiros,España,Lugo,Xermade,O Chao
-8.725754,42.210521,Iglesia de Castrelos,España,Pontevedra,Vigo,Pazó
-8.621727,42.149675,Capilla de la Guía,España,Pontevedra,Porriño,A Guía
-8.803512,42.147755,Capela das Angustias,España,Pontevedra,Nigrán,A Angustia
