X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-8.068359,43.417567,Monasterio de Caaveiro,España,A Coruña,A Capela,Entorno rural
-8.037116,43.340392,Monasterio de Monfero,España,A Coruña,Rebordelo,Tineo
-8.281846,43.4506446,Monasterio de Santa Catalina,España,A Coruña,Ares,O Monte
-8.741862,42.463548,Monasterio de Armenteira,España,Pontevedra,Meis,Caroi
-9.199604,43.084827,San Xiao de Moraime,España,A Coruña,Muxía,Moraime
-8.68539,42.44651,Monasterio de San Xoan de Poio,España,Pontevedra,O Convento,A Seara
-8.022276,43.038511,Monasterio de Sobrado dos Monxes,España,A Coruña,Sobrado,As Casiñas
-7.957467,42.151803,Monasterio de San Salvador,España,Ourense,Celanova,As Lobeiras
-8.029988,42.168102,Monasterio de San Pedro de Ramirás,España,Ourense,O Picouto,Pazos
-8.492059,42.182033,Monasterio de Canedo,España,Pontevedra,Ponteareas,Canedo
-8.268163,42.741405,San Pedro de Ansemil,España,Pontevedra,Silleda,Ansemil
-7.685656,42.417341,Monasterio de Santo Estevo,España,Ourense,Nogueira de Ramuín,Entorno rural
-7.516755,42.518407,Colegio de Nosa Señora da Antiga,España,Lugo,Monforte de Lemos,Carude
-7.448646,42.389543,Monasterio de San Paio de Abeledo,España,Ourense,O Castro de Caldelas,Pousada de Abaixo
-7.510368,42.523799,Monasterio de San Vicente do Pino,España,Lugo,Monforte de Lemos,Entorno rural
-7.515534,42.523283,Convento de Santa Clara,España,Lugo,Monforte de Lemos,Ramberde
-7.588286,42.39583,Monasterio de Santa Cristina,España,Ourense,Parada de Sil,Castro
-8.21643,42.255622,Monasterio de Santa María de Melón,España,Ourense,Melón,A Costa do Cuco
-7.659549,42.102049,Monasterio de Trandeiras,España,Ourense,Sarreaus,Trandeiras
-7.326046,42.732174,Monasterio de Samos,España,Lugo,Samos,O Outeiro
-7.620054,42.508535,Monasterio de Ferreira,España,Lugo,O Castro de Ferreira,O Curro
-7.627007,42.774171,Monasterio de San Facundo,España,Lugo,Portomarín,Sabadelle
-8.849704,42.120182,Convento das Dominicas,España,Pontevedra,Baiona,A Anunciada
-8.359401,42.18174,Santuario da Franqueira,España,Pontevedra,A Caniza,A Igrexa
-8.876378,42.003133,Monasterio de Sta Mª de Oia,España,Pontevedra,O Arrabal,Redondeliño
-8.25212,42.143256,Monasterio de San Paio de Albeos,España,Pontevedra,Crecente,O Mosteiro
-8.647107,42.431199,Convento de Santo Domingo,España,Pontevedra,Pontevedra,Moureira de Abaixo
-8.643806,42.048205,Convento de San Francisco,España,Pontevedra,Tuy,O Arrabal
-7.713538,42.341822,San Pedro de Rocas,España,Ourense,Esgos,Calsomiro
-8.64319,42.431258,Convento de San Francisco,España,Pontevedra,Pontevedra,Entorno rural
-7.950926,42.538505,Monasterio de Oseira,España,Ourense,San Cristovo de Cea,Oseira
-8.246062,42.755556,Monasterio de Carboeiro,España,Pontevedra,Silleda,Carboeiro de Francia
-8.114959,42.367399,Monasterio de San Clodio,España,Ourense,Leiro,Leiro
-8.301789,42.617572,Monasterio de Aciveiro,España,Pontevedra,Forcarei,O Cotiño
-7.207778,42.876944,Monasterio de Penamaior,España,Lugo,Becerreá,Campo de Árbore
-7.679444,42.881111,Monasterio de Ferreira de Pallares,España,Lugo,Guntín de Pallares,Ferreira
-7.628924,42.318139,Monasterio de Sta. María de Xunqueira,España,Ourense,Xunqueira de Espadanedo,O Barrio
-7.238215,42.316452,Monasterio de Sobrado de Trives,España,Ourense,A Pobra de Trives,Sobrado
-7.501849,42.274626,Monasterio de Montederramo,España,Ourense,Montederramo,Sanfitoiro
-8.820004,42.811821,Monasterio de Toxosoutos,España,A Coruña,Lousame,San Xusto
-8.5914159,41.9774942,Convento de Mosteiró,Portugal,Viana do Castelo,Valencia de Miño,Cerdal
-8.493989,43.227694,Monasterio de San Pedro de Soandres,España,A Coruña,A Laracha,A Ponte da Veiga
-7.735072,42.204183,Monasterio de Xunqueira de Ambía,España,Ourense,Xunqueira de Ambía,Xunqueira de Ambía
