X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-8.201541,41.932273326168,Mirador Pozas de Mallón,España,Ourense,Entrimo,A Fonte
-7.1098702,42.783000026168,Mirador Torre de Doncos,España,Lugo,As Nogais,As Nogais
-8.450868,42.419663026168,Coto do Castro,España,Pontevedra,Cerdedo Cotobade,A Casa Grande
-7.4478292,42.412296526168,MIrador do Duque,España,Lugo,Monforte de Lemos,Doade
-8.1995363,42.166577626168,Mirador Coto da Cruz,España,Ourense,Crecente,A Granxa
-8.3697635,42.501532726168,Mirador do Outeiro do Coto,España,Pontevedra,Forcarei,Carballás
-7.0068393,42.882934426168,Os Ancares,España,Lugo,Navia de Suarna,Vilela
-8.86655,42.416804026168,Lagoa de Major,España,Pontevedra,Sanxenxo,Pragueira
-8.3718824,42.491846326168,Monte Seixo - Serra do Cando,España,Pontevedra,Forcarei,Forcarei
-8.141655,42.252300326168,Área Recreativa As Poldras,España,Ourense,Outeiro Cruz,Lapela
-8.443336,42.414269026168,Ruta da Liberdade,España,Pontevedra,A Lama,O Verdugo
-8.937378,42.378836026168,Islas de Ons,España,Pontevedra,Bueu,A Illa de Ons
-8.698942,42.632285026168,Monte Xiabre,España,Pontevedra,Catoira,Portocelo
-8.614443,42.346349026168,Illote do Castelo,España,Pontevedra,Pontevedra,As Laceiras
-9.014262,42.560722026168,Mirador de A Pedra da Rá,España,A Coruña,Santa Uxía de Ribeira,A Granxa
-8.614839,42.323746026168,Espacio Natural de Soutoxuste,España,Pontevedra,Redondela,Soutoxuste
-8.906203,42.218645026168,Islas Cíes,España,Pontevedra,Vigo,O Convento
-9.271921,42.882474026168,Cabo Finisterre,España,A Coruña,Fisterra,Fisterra
-9.211486,43.160337026168,Cabo Vilán,España,A Coruña,Camariñas,Entorno rural
-8.795875,41.968502026168,Pedra Furada,España,Pontevedra,Tomiño,Entorno rural
-8.768026,42.478588026168,Mirador de San Cibrán,España,Pontevedra,Meis,Vilaverde
-8.806568,42.512176026168,Monte da Pastora,España,Pontevedra,Cambados,O Cruceiro
-8.575366,42.082064026168,Espicho do Faro,España,Pontevedra,Salceda de Caselas,Entorno rural
-8.70219,42.482486026168,Monte Castrove (613 m),España,Pontevedra,Poio,Entorno rural
-8.849747,42.156493026168,Punta Lameda,España,Pontevedra,Nigrán,Xermaña
-8.886202,42.105996026168,Area recreativa Silleiro,España,Pontevedra,Baiona,A Cela Vella
-8.887385,42.108342026168,Mirador do Silleiro,España,Pontevedra,Baiona,A Cela Vella
-8.84423,42.154109026168,Monteferro,España,Pontevedra,Nigrán,Xermaña
-8.519565,42.078861026168,Isla de Fillaboa,España,Pontevedra,Salvaterra de Miño,A Quinta da Fillaboa
-8.835976,42.079286026168,O Cortelliño,España,Pontevedra,Baiona,Entorno rural
-8.4060365,42.2772495,Ruta sin título,España,Pontevedra,Covelo,Os Oleiros
-8.760492,42.184518026168,Covas do Folón,España,Pontevedra,Vigo,Fragoselo
-9.070011,42.969324026168,Pedra do Brazal,España,A Coruña,Dumbría,O Logoso
-8.628119,42.307297026168,Illa de San Simón,España,Pontevedra,Redondela,San Simón
-8.889161,42.468777026168,Mirador do Con da Edra,España,Pontevedra,O Grove,Os Porros
-8.810797,41.948548026168,Mirador de Cabezo Gordo,España,Pontevedra,O Rosal,As Cruces
-7.966474,42.064200026168,Alto do Vieiro,España,Ourense,Bande,Martiñán
-8.809789,41.953005026168,Niño do Corvo,España,Pontevedra,O Rosal,Entorno rural
-8.482319,42.180205026168,Pena do Equilibrio,España,Pontevedra,Ponteareas,A Igrexa
-8.631306,42.112110026168,Gándaras de Budiño,España,Pontevedra,Porriño,Orbenlle
-8.856548,42.397179026168,Punta Montalvo,España,Pontevedra,Sanxenxo,Montalbo
-8.841989,42.386664026168,Punta Cabicastro,España,Pontevedra,Sanxenxo,Canelas
-7.694997,42.489870026168,Mirador de Pesqueiras,España,Lugo,Pantón,Pesqueiras
-8.706877,42.140367026168,Monte do Galiñeiro,España,Pontevedra,Gondomar,Entorno rural
-8.680726,42.083218026168,Parque Natural do Monte Aloia,España,Pontevedra,Tuy,Entorno rural
-8.674604,42.362990026168,Lago Castiñeiras,España,Pontevedra,Marín,Entorno rural
-8.675038,42.353382026168,Mirador de Cotorredondo,España,Pontevedra,Vilaboa,A Graña
-8.703948,42.315964026168,Monte Xaxán,España,Pontevedra,Moaña,A Fraga
-7.187606,43.326868026168,Mirador de A Panda,España,Lugo,A Pontenova,Vilaoudriz
-7.137768,42.647568026168,Mirador de Piñeira,España,Lugo,Folgoso do Courel,Pacios
-7.153596,42.666788026168,O Taro Blanco,España,Lugo,Folgoso do Courel,Teixeira
-8.871102,41.888418026168,Monte Santa Tecla,España,Pontevedra,A Guarda,Santa Trega
-7.120194,42.618193026168,Serra de O Courel,España,Lugo,Folgoso do Courel,Ferrería Nova
-8.959912,42.625072026168,Mirador de A Curotiña,España,A Coruña,A Pobra do Caramiñal,San Amedio
-8.562282,42.143400026168,Alto de San Cibrán,España,Pontevedra,Ponteareas,Penadouro
-7.889167,43.747161026168,Mirador de A Pedra,España,A Coruña,Cariño,A Vacariza
-8.970048,42.616679026168,Mirador de Valle Inclán,España,A Coruña,A Pobra do Caramiñal,San Amedio
-8.510718,42.177710026168,Paseo fluvial de A Freixa,España,Pontevedra,Ponteareas,A Ponte dos Remedios
-9.090028,42.576299026168,Punta y Faro de Corrubedo,España,A Coruña,Ribeira,O Faro
-7.98736,42.392884026168,Camino Natural do Río Barbantiño,España,Ourense,Amoeiro,O Burguete
