X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-8.1916755,42.6801067,Museo Galego das Marionetas,España,Pontevedra,Lalín,O Alto da Pena
-8.1133192,42.6612873,"Museo Muncipal ""Ramón María Aller""",España,Pontevedra,Lalín,Feás
-8.8509035,41.8886407,Colegio Jesuita,España,Pontevedra,A Guarda,A Pasaxe
-8.2603146,42.1140375,Melgaço conjunto histórico,Portugal,Viana do Castelo,Melgaço,Senhora da Oliveira
-8.2823664,42.1066682,Termas de Melgaço,Portugal,Viana do Castelo,Melgaço,Cruzeiro e Folia
-9.0057756,43.221824,Casa do Arco,España,A Coruña,Laxe,As Rías
-7.5410134,43.0817761,San Clodio,España,Lugo,Outeiro de Rei,San Clodio
-9.0912154,43.1842108,Museo Man de Camelle,España,A Coruña,Camariñas,Monte Novo
-8.1929578,43.1804009,Sanatorio de Cesuras,España,A Coruña,Cesuras,O Lameiro
-7.802215,42.1897763,Allariz,España,Ourense,Allariz,San Lázaro
-8.3078349,42.1128954,"Árabo, centro de Interpretación",España,Pontevedra,O Pazo,San Bieito
-7.6311337,43.0800695,Antigua central,España,Lugo,Outeiro de Rei,Piago
-8.8193677,42.5079532,Barrio de San Tomé do Mar,España,Pontevedra,Cambados,A Alameda Vella
-8.1430976,42.2872073,Conjunto histórico de Ribadavia,España,Ourense,Ribadavia,Figueirido
-8.6533281,42.2876704,Cargadero de Mineral,España,Pontevedra,Redondela,Rande
-6.8224512,42.4460263,Caleiro de Pardollán,España,Ourense,Rubiá,Pardollán
-8.8657737,42.4932685,Casa Torre de Escuredo,España,Pontevedra,O Grove,A Vilavella
-8.8791342,41.9378297,Esculturas de Monte Torroso,España,Pontevedra,A Guarda,Rosentes
-8.76249,42.1607101,Monumento a Milladoiro,España,Pontevedra,Nigrán,As Tomadas
-8.1273842,42.409822,Granja románica de Paradela,España,Ourense,Boborás,Paradela
-8.1516151,42.4574661,Minas de Brués,España,Ourense,Boborás,Santa Isabel
-7.9969888,42.3701679,Termas de O Bañiño,España,Ourense,A Forxa,As Quintás
-8.27172,42.2233466,Balneario Augas Férreas,España,Pontevedra,A Caniza,O Rial
-8.8215599,42.7530288,Minas de San Finx (Lousame),España,A Coruña,Lousame,As Minas de San Fins
-8.8566474,42.7919953,Minas de wolframio,España,A Coruña,Portobravo,As Bouciñas
-7.6509736,42.4127768,Plano inclinado,España,Ourense,Nogueira de Ramuín,O Miradoiro
-7.2333157,42.5516063,Museo privado de Vilar,España,Lugo,Folgoso do Courel,Vilar
-7.4727748,43.7199758,Parque de Fabricación de Dolos,España,Lugo,Xove,O Alto de Lago
-8.8859425,42.7834823,Igrexa de Santa María a Nova - Museo das laudas gremiais,España,A Coruña,Noia,A Pedrachán
-8.203835,43.4242569,Redes,España,A Coruña,Ares,Redes
-8.7304096,42.0067374,Ruinas antiguo hospital de peregrinos,España,Pontevedra,Tomiño,O Hospital
-6.9659847,42.2786163,Esculturas pepe de Barrio,España,Ourense,La Vega,Espiño
-8.8496709,42.8366692,Central del Tambre,España,A Coruña,Noia,O Tambre
-7.2347911,42.069167,Viviendas ferroviarias Venda da Capela,España,Ourense,Vilariño de Conso,A Venda da Capela
-8.6346743,42.1012019,Murales de Xai Oscar,España,Pontevedra,Porriño,O Cerquido
-7.6717139,42.424918,Aldea abandonada de A Chaira,España,Ourense,Pantón,A Chaira
-7.9152451,43.0931362,Cova da Serpe,España,Lugo,Friol,Pardiñeira
-6.9543794,43.0768252,Capela de A Fornaza,España,Lugo,Negueira de Muñiz,Entorno rural
-7.7184181,42.5845433,Aldea abandonada de Bexán,España,Lugo,O Saviñao,Bexán
-8.655741,42.2944974,Forno de cal de Cobres,España,Pontevedra,Vilaboa,Entorno rural
-7.2346105,42.310337,Manzaneda,España,Ourense,Manzaneda,O Poboado
-8.4132823,42.4228816,Laxedo,España,Pontevedra,A Lama,Laxedo
-7.1440091,43.0952212,Hospital Montouto,España,Lugo,A Fonsagrada,Pedrafitelas
-8.1225717,41.8953808,Antigua aldea de Aceredo,España,Ourense,Lobios,Aceredo
-8.1914878,42.3376038,Aldea Abandonada de Sariñás,España,Ourense,Carballeda de Avia,Sariñás
-7.0325499,42.306517,Aldea asulagada de Albergueria,España,Ourense,La Vega,Poboado de Prada
-7.5992845,42.2917636,Minas de Baldrei,España,Ourense,Maceda,Baldrei
-7.0616369,42.8735897,Centro etnográfico de Cervantes,España,Lugo,Cervantes,San Román
-7.7505906,41.944646,Mina de wolframio de Baltar,España,Ourense,Baltar,Baltar
-7.1186474,42.8222281,"Mojón Kilometrico de Agüeira, Becerra, Lugo",España,Lugo,Becerreá,O Marco
