X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-8.7920451,42.2481369,Playa de O Medio,España,Pontevedra,Cangas,Balea
-8.705507,42.706068,Playa Fluvial de Vilarello,España,A Coruña,Valga,Laxes
-8.427625,42.073647,Playa fluvial de Porto Maior,España,Pontevedra,As Neves,Paredes
-8.7943625,42.2496776,Playa de Areamilla,España,Pontevedra,Cangas,Balea
-8.298143,42.107719,Playa Fluvial de Arbo,España,Pontevedra,O Pazo,A Estación
-8.470191,42.228088,Playa Fluvial de Mondariz Balneario,España,Pontevedra,Mondariz Balneario,Troncoso
-8.352633,42.27116,Playa fluvial de Maceira,España,Pontevedra,Covelo,O Zacalledo
-8.354888,42.090715,Playa de Sela,España,Pontevedra,Arbo,A Granxa
-8.295397,42.120075,Playa fluvial de Mourentán,España,Pontevedra,Arbo,O Coto de Mourentán
-8.206867,42.267576,Pozas de Melón,España,Ourense,Melón,Melón
-8.84839,42.396834,Playa de Montalvo,España,Pontevedra,Sanxenxo,Arra
-8.514305,42.187942,Playa Fluvial de A Freixa,España,Pontevedra,Ponteareas,A Freixa
-8.861331,42.060589,Pozas de Mougás,España,Pontevedra,Oia,A Cova
-8.106792,41.862477,Baños del Río Caldo,España,Ourense,Lobios,Os Baños
-8.36529,42.387319,Playa fluvial de Prados,España,Pontevedra,A Lama,Grifa
-8.491538,42.391259,Playa de A Calzada,España,Pontevedra,Ponte Caldelas,Caldelas
-8.908351,42.475266,Playa da Mexilloeira,España,Pontevedra,O Grove,A Torre
-7.843895,42.786913,Area Recreativa da Peneda,España,Lugo,Monterroso,As Castedas
-8.53318,43.315483,Playa de Valcovo,España,A Coruña,Arteixo,A Ponte
-9.036298,42.648765,Praia das Furnas,España,A Coruña,O Porto do Son,O Carrapatal
-8.877468,42.449175,Praia da Lanzada,España,Pontevedra,O Grove,San Vicente do Grove
-7.983734,42.49439,Area Recreativa de Freás,España,Ourense,Piñor,Fréas da Canda
-8.851869,42.125713,Playa dos Frades,España,Pontevedra,Baiona,A Anunciada
-8.849047,42.121543,Playa de A Ribeira,España,Pontevedra,Baiona,A Anunciada
-8.829317,42.113251,Playa Ladeira,España,Pontevedra,Baiona,As Areas
-8.851815,42.12256,Playa de A Concheira,España,Pontevedra,Baiona,A Anunciada
-8.848414,42.123787,Playa Barbeira,España,Pontevedra,Baiona,A Anunciada
-8.838501,42.114588,Playa de Santa Marta,España,Pontevedra,Baiona,O Burgo
-8.788784,42.199196,Playa do Baluarte,España,Pontevedra,Vigo,A Silveira
-8.8164,42.167984,Playa O Portiño,España,Pontevedra,Vigo,O Portiño
-8.82597,42.145667,Playa A Madorra,España,Pontevedra,Nigrán,A Madorra
-8.819468,42.12958,Playa América,España,Pontevedra,Nigrán,A Praia América
-8.819962,42.140814,Playa Panxón,España,Pontevedra,Nigrán,Gaifar
-8.825583,42.154528,Playa Patos,España,Pontevedra,Nigrán,Patos
-8.82024,42.158934,Playa As Canas,España,Pontevedra,Nigrán,O Rial
-8.793612,42.197654,Playa do Vao,España,Pontevedra,Vigo,Fontenla
-8.814211,42.174695,Playa dos Muíños do Fortiñón,España,Pontevedra,Vigo,O Fortiñón
