X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-8.209943,42.679517,Ponte Taboada Vella,España,Pontevedra,Lalín,Entorno rural
-8.390578,42.106768,Puente y Peto de Senra,España,Pontevedra,As Neves,A Igrexa
-8.429277,42.6379941,Ponte acueducto de Leira,España,Pontevedra,A Estrada,Carracedo
-8.0762869,42.2335857,Paso de Montouto,España,Ourense,Cartelle,Entorno rural
-8.29581,42.11982,Ponte de San Xoán,España,Pontevedra,Arbo,O Coto de Mourentán
-8.518336,42.084471,Puente de Fillaboa,España,Pontevedra,Salvaterra de Miño,Fillaboa
-8.405134,42.282423,Puente Romano,España,Pontevedra,Covelo,Os Oleiros
-8.626877,42.81568,Puente de Francos,España,A Coruña,Teo,Rúa de Francos
-8.398423,42.264445,Puente de Portafurado,España,Pontevedra,Covelo,O San Amaro
-8.336795,42.280254,Puente de Fofe,España,Pontevedra,Covelo,Entorno rural
-8.448259,42.23958,Puente de Cernadela,España,Pontevedra,Mondariz,O Perrazo
-8.382409,42.284699,Puente Piñeiro,España,Pontevedra,Covelo,O Zacalledo
-8.204903,42.266756,Puente medieval desaparecido,España,Ourense,Melón,Melón
-8.5293753,42.443127,Ponte Borela,España,Pontevedra,Cerdedo Cotobade,A Ponte Borela
-7.514602,42.522965,A Ponte Vella,España,Lugo,Monforte de Lemos,Entorno rural
-7.79303,43.17211,Puente de San Alberte,España,Lugo,Guitiriz,San Alberte
-7.439054,42.963948,Ponte do Galiñeiro,España,Lugo,Corgo,Pedrafita
-7.543134,42.327539,Ponte Edrada,España,Ourense,Montederramo,Vilariño Pequeno
-8.812559,42.280983,Arco da Condesa - Acueducto,España,Pontevedra,Cangas,San Cibrán
-8.7339,42.212143,Ponte de Castrelos,España,Pontevedra,Vigo,A Telleira
-8.814635,42.278817,A Ponte,España,Pontevedra,Cangas de Morrazo,San Cibrán
-7.289409,42.348774,Ponte Navea,España,Ourense,A Pobra de Trives,A Ponte
-8.715942,42.219016,Ponte de Sárdoma,España,Pontevedra,Vigo,A Laxe
-7.285894,42.355679,Ponte do Piago,España,Ourense,A Pobra de Trives,O Reboledo
-8.606507,42.457641,Ponte do Couso,España,Pontevedra,Pontevedra,O Couso
-8.425742,42.24207,Pasos de Tatín,España,Pontevedra,Mondariz,Outerelo
-9.028224,42.645583,Puente do Río Sieira,España,A Coruña,O Porto do Son,A Coviña
-8.388188,42.257816,Pasos de Lourido,España,Pontevedra,Covelo,Redondo
-8.660696,42.28758,Ponte de Rande,España,Pontevedra,Moaña,Entorno rural
-7.980735,42.408461,Puente de San Fiz,España,Ourense,Maside,San Fiz
-7.868918,42.345045,Ponte Romana de Ourense,España,Ourense,Ourense,A Ponte
-8.302927,42.287693,Ponte Pardellas,España,Pontevedra,Covelo,As Covilloas
-8.812529,42.115588,Puente de la Ramallosa,España,Pontevedra,Baiona,Entorno rural
-8.645151,42.605905,Puente Río Bermaña,España,Pontevedra,Caldas de Reis,Entorno rural
-7.802814,42.192566,Puente de Vilanova,España,Ourense,Allariz,A Frieira
-7.616937,42.805106,Puente de Portomarín,España,Lugo,Portomarín,Barreiro
-8.568875,42.343322,Puente de Comboa,España,Pontevedra,O Rial,Romariz
