X,Y,Name,country,provincia,concello,LUGAR_E_PARROQUIA
-7.863609,42.335447026168,Museo Arqueolóxico,España,Ourense,Ourense,Casco Vello
-7.5028789,42.373732126168,Necrópolis de San Vitor,España,Ourense,Parada de Sil,San Lourenzo
-7.30903,41.876503026168,Ermita das Portas Abertas,España,Ourense,Vilardevós,Arzádegos
-8.815462,42.278535026168,Sartego da Laxe (Sarcófago),España,Pontevedra,Cangas de Morrazo,San Cibrán
-9.025626,42.519381026168,Muelle de A Covasa,España,A Coruña,Aguiño,A Covasa
-8.682269,42.689557026168,Igrexa Vella,España,Pontevedra,Valga,Balleas
-9.014262,42.560722026168,Castro da Cidá,España,A Coruña,Santa Uxía de Ribeira,A Granxa
-8.428693,42.125228026168,Castro de Altamira,España,Pontevedra,As Neves,A Rata
-8.798456,42.171952026168,Castro do Alto da Medoña,España,Pontevedra,Vigo,Estea
-8.797715,42.172497026168,Muíños naviculares de Estea,España,Pontevedra,Vigo,Desteriz
-8.930725,42.477703026168,Necrópolis de Adro Vello,España,Pontevedra,O Grove,A Igrexa
-8.807437,42.511952026168,Sta Mariña Dozo,España,Pontevedra,Cambados,Santa Mariña Dozo
-8.406491,43.385908026168,Torre de Hércules,España,A Coruña,La Coruña,As Lagoas
-8.795086,42.196220026168,Villa de Toralla,España,Pontevedra,Vigo,Canido
-8.823727,42.145234026168,Arco Visigótico de San Xoan,España,Pontevedra,Nigrán,A Madorra
-8.637884,42.268333026168,Petroglifos de Chan da Cruz,España,Pontevedra,Redondela,Trasmañó
-8.636548,42.264434026168,Mamoa da Moura,España,Pontevedra,Redondela,Trasmañó
-8.733748,42.455159026168,Petroglifos de Outeiro da Criba,España,Pontevedra,Meis,Entorno rural
-7.982058,41.979182026168,Termas,España,Ourense,Bande,O Baño
-8.0436332,43.084242726168,Campamento romano da Ciadella,España,A Coruña,Sobrado,Gundín
-7.981116,41.977054026168,Mansión Romana,España,Ourense,Bande,Os Chaos
-7.984947,41.971821026168,Centro de Interpretación,España,Ourense,Bande,Porto Quintela
-8.626,42.264373026168,Castro de Negrós,España,Pontevedra,Redondela,Negros
-7.980917,41.973759026168,Aquis Querquennis,España,Ourense,Bande,Os Chaos
-8.936535,42.478993026168,Castro de Carreiro,España,Pontevedra,O Grove,O Carreiro
-8.488636,42.326622026168,Monte da Cidade,España,Pontevedra,Pazos,O Gorgoreiro
-8.698664,42.319773026168,Dolmen de Chan de Arquiña,España,Pontevedra,Moaña,Entorno rural
-8.119426,41.834078026168,Miliarios,España,Ourense,Lobios,Entorno rural
-8.107229,41.856394026168,Aquis Originis,España,Ourense,Lobios,Torneiros
-8.660858,42.441900026168,Petroglifos de A Caeira,España,Pontevedra,Poio,Boa Vista
-8.672376,42.359541026168,Mámoas varias,España,Pontevedra,Vilaboa,A Graña
-8.672652,42.358338026168,Mámoa do Rei o de Castiñeiras,España,Pontevedra,Vilaboa,A Graña
-7.829959,42.347482026168,Castro de Santomé,España,Ourense,Ourense,San Tomé
-7.7182738,42.422319226168,Mámoas das Cabanas,España,Ourense,Luíntra,O Alcouce
-8.706506,42.140759026168,Castro del Galiñeiro,España,Pontevedra,Gondomar,Entorno rural
-8.661663,42.066226026168,Castro de Cubos,España,Pontevedra,Tuy,O Telleiro
-7.206139,42.391896026168,Montefurado,España,Lugo,Quiroga,O Ermidón
-7.562361,43.012317026168,Murallas de Lugo,España,Lugo,Lugo,Casco Vello
-8.679247,42.086486026168,Muralla Ciclópea,España,Pontevedra,Tuy,Entorno rural
-7.184707,42.618041026168,Castro da Torre,España,Lugo,Folgoso do Courel,Sobredo
-7.388758,43.160823026168,Castro de Viladonga,España,Lugo,Castro de Rei,Picatelos
-8.779207,42.313661026168,Calzada romada de Meiro,España,Pontevedra,Bueu,Meiro
-7.30001,42.347918026168,Miliarios de Guístolas,España,Ourense,O Campo,O Reboledo
-7.130538,42.659051026168,Mina romana de A Toca,España,Lugo,Folgoso do Courel,Pacios
-8.840496,42.662000026168,Castro Pequeno de Neixón,España,A Coruña,Boiro,Nine
-8.477335,42.177467026168,Pena dos Namorados,España,Pontevedra,Ponteareas,A Igrexa
-8.842526,42.663901026168,Castro Grande de Neixón,España,A Coruña,Boiro,Nine
-8.952732,43.194606026168,Castro de Borneiro,España,A Coruña,Cabana de Bergantiños,Vilaseco
-9.017076,42.600114026168,Dolmen de Axeitos,España,A Coruña,Ribeira,Axeitos
-8.552368,42.636892026168,Castrolandín,España,Pontevedra,Cuntis,Cardecide
-8.729699,42.056338026168,Petroglifos de Real Seco,España,Pontevedra,Tomiño,Cimadevila
-8.72668,42.055091026168,Petroglifo de Portaxes,España,Pontevedra,Tomiño,Samuelle
-8.586385,42.129736026168,Faro de Budiño,España,Pontevedra,Porriño,A Insua
-8.834047,42.054366026168,Pedra do Acordo,España,Pontevedra,Oia,Entorno rural
-8.733835,42.054120026168,Ecoparque Arqueolóxico Monte Tetón,España,Pontevedra,Tomiño,Cimadevila
-8.72703733485726,42.0556043724061,Ecoparque Monte Tetón,España,Pontevedra,Tomiño,Cimadevila
-8.524227,42.404855026168,Petroglifos de Tourón,España,Pontevedra,Ponte Caldelas,Buchabade
