id_concello,concello,provincia,codigo_provincia,codigo_concello,pais,id_provincia
a-armada-a-coruna-espana,A Armada,A Coruña,15,0,España,a-coruna
a-capela-a-coruna-espana,A Capela,A Coruña,15,0,España,a-coruna
a-carballa-a-coruna-espana,A Carballa,A Coruña,15,0,España,a-coruna
a-carreira-a-coruna-espana,A Carreira,A Coruña,15,0,España,a-coruna
a-coruna-a-coruna-espana,A Coruña,A Coruña,15,15030,España,a-coruna
a-estrada-a-coruna-espana,A Estrada,A Coruña,15,0,España,a-coruna
a-laracha-a-coruna-espana,A Laracha,A Coruña,15,15041,España,a-coruna
a-pobra-do-caraminal-a-coruna-espana,A Pobra Do Caramiñal,A Coruña,15,15940,España,a-coruna
aguino-a-coruna-espana,Aguiño,A Coruña,15,0,España,a-coruna
ames-a-coruna-espana,Ames,A Coruña,15,0,España,a-coruna
aranga-a-coruna-espana,Aranga,A Coruña,15,0,España,a-coruna
ares-a-coruna-espana,Ares,A Coruña,15,0,España,a-coruna
arteixo-a-coruna-espana,Arteixo,A Coruña,15,15143,España,a-coruna
arzua-a-coruna-espana,Arzúa,A Coruña,15,0,España,a-coruna
as-pontes-de-garcia-rodriguez-a-coruna-espana,As Pontes De García Rodríguez,A Coruña,15,15320,España,a-coruna
bergondo-a-coruna-espana,Bergondo,A Coruña,15,15008,España,a-coruna
betanzos-a-coruna-espana,Betanzos,A Coruña,15,0,España,a-coruna
boiro-a-coruna-espana,Boiro,A Coruña,15,0,España,a-coruna
boqueixon-a-coruna-espana,Boqueixón,A Coruña,15,0,España,a-coruna
cabana-de-bergantinos-a-coruna-espana,Cabana De Bergantiños,A Coruña,15,0,España,a-coruna
camarinas-a-coruna-espana,Camariñas,A Coruña,15,15016,España,a-coruna
cambre-a-coruna-espana,Cambre,A Coruña,15,0,España,a-coruna
carballo-a-coruna-espana,Carballo,A Coruña,15,15019,España,a-coruna
carino-a-coruna-espana,Cariño,A Coruña,15,0,España,a-coruna
carnota-a-coruna-espana,Carnota,A Coruña,15,0,España,a-coruna
carral-a-coruna-espana,Carral,A Coruña,15,0,España,a-coruna
catoira-a-coruna-espana,Catoira,A Coruña,15,0,España,a-coruna
cedeira-a-coruna-espana,Cedeira,A Coruña,15,0,España,a-coruna
cee-a-coruna-espana,Cee,A Coruña,15,0,España,a-coruna
cesuras-a-coruna-espana,Cesuras,A Coruña,15,0,España,a-coruna
coiros-a-coruna-espana,Coirós,A Coruña,15,0,España,a-coruna
coristanco-a-coruna-espana,Coristanco,A Coruña,15,0,España,a-coruna
cruido-a-coruna-espana,Cruído,A Coruña,15,0,España,a-coruna
culleredo-a-coruna-espana,Culleredo,A Coruña,15,0,España,a-coruna
dumbria-a-coruna-espana,Dumbría,A Coruña,15,15034,España,a-coruna
fene-a-coruna-espana,Fene,A Coruña,15,0,España,a-coruna
ferrol-a-coruna-espana,Ferrol,A Coruña,15,15406,España,a-coruna
fisterra-a-coruna-espana,Fisterra,A Coruña,15,0,España,a-coruna
frades-a-coruna-espana,Frades,A Coruña,15,0,España,a-coruna
irixoa-a-coruna-espana,Irixoa,A Coruña,15,0,España,a-coruna
la-coruna-a-coruna-espana,La Coruña,A Coruña,15,0,España,a-coruna
laxe-a-coruna-espana,Laxe,A Coruña,15,15117,España,a-coruna
lousame-a-coruna-espana,Lousame,A Coruña,15,0,España,a-coruna
malpica-a-coruna-espana,Malpica,A Coruña,15,0,España,a-coruna
malpica-de-bergantinos-a-coruna-espana,Malpica De Bergantiños,A Coruña,15,15113,España,a-coruna
mazaricos-a-coruna-espana,Mazaricos,A Coruña,15,0,España,a-coruna
manon-a-coruna-espana,Mañón,A Coruña,15,0,España,a-coruna
melide-a-coruna-espana,Melide,A Coruña,15,0,España,a-coruna
mera-a-coruna-espana,Mera,A Coruña,15,0,España,a-coruna
mino-a-coruna-espana,Miño,A Coruña,15,15630,España,a-coruna
moeche-a-coruna-espana,Moeche,A Coruña,15,0,España,a-coruna
mugardos-a-coruna-espana,Mugardos,A Coruña,15,0,España,a-coruna
muros-a-coruna-espana,Muros,A Coruña,15,15250,España,a-coruna
muxia-a-coruna-espana,Muxía,A Coruña,15,0,España,a-coruna
naron-a-coruna-espana,Narón,A Coruña,15,0,España,a-coruna
negreira-a-coruna-espana,Negreira,A Coruña,15,0,España,a-coruna
noia-a-coruna-espana,Noia,A Coruña,15,0,España,a-coruna
o-pazo-do-rio-a-coruna-espana,O Pazo Do Río,A Coruña,15,0,España,a-coruna
o-porto-de-santa-cruz-a-coruna-espana,O Porto De Santa Cruz,A Coruña,15,0,España,a-coruna
o-porto-do-son-a-coruna-espana,O Porto Do Son,A Coruña,15,0,España,a-coruna
o-souto-a-coruna-espana,O Souto,A Coruña,15,0,España,a-coruna
oleiros-a-coruna-espana,Oleiros,A Coruña,15,15058,España,a-coruna
oroso-a-coruna-espana,Oroso,A Coruña,15,0,España,a-coruna
ortigueira-a-coruna-espana,Ortigueira,A Coruña,15,0,España,a-coruna
outes-a-coruna-espana,Outes,A Coruña,15,0,España,a-coruna
oza-cesuras-a-coruna-espana,Oza Cesuras,A Coruña,15,0,España,a-coruna
padron-a-coruna-espana,Padrón,A Coruña,15,0,España,a-coruna
pedrouzos-a-coruna-espana,Pedrouzos,A Coruña,15,0,España,a-coruna
ponte-carreira-a-coruna-espana,Ponte Carreira,A Coruña,15,0,España,a-coruna
ponteceso-a-coruna-espana,Ponteceso,A Coruña,15,15068,España,a-coruna
portobravo-a-coruna-espana,Portobravo,A Coruña,15,0,España,a-coruna
portomouro-de-abaixo-a-coruna-espana,Portomouro De Abaixo,A Coruña,15,0,España,a-coruna
puentedeume-a-coruna-espana,Puentedeume,A Coruña,15,0,España,a-coruna
rebordelo-a-coruna-espana,Rebordelo,A Coruña,15,0,España,a-coruna
rianxo-a-coruna-espana,Rianxo,A Coruña,15,0,España,a-coruna
ribeira-a-coruna-espana,Ribeira,A Coruña,15,0,España,a-coruna
ru-a-coruna-espana,Ru,A Coruña,15,0,España,a-coruna
san-sadurnino-a-coruna-espana,San Sadurniño,A Coruña,15,0,España,a-coruna
santa-comba-a-coruna-espana,Santa Comba,A Coruña,15,0,España,a-coruna
santa-uxia-de-ribeira-a-coruna-espana,Santa Uxía De Ribeira,A Coruña,15,0,España,a-coruna
santiago-de-compostela-a-coruna-espana,Santiago De Compostela,A Coruña,15,0,España,a-coruna
sobrado-a-coruna-espana,Sobrado,A Coruña,15,0,España,a-coruna
teo-a-coruna-espana,Teo,A Coruña,15,0,España,a-coruna
toques-a-coruna-espana,Toques,A Coruña,15,0,España,a-coruna
tordoia-a-coruna-espana,Tordoia,A Coruña,15,0,España,a-coruna
touro-a-coruna-espana,Touro,A Coruña,15,0,España,a-coruna
val-do-dubra-a-coruna-espana,Val Do Dubra,A Coruña,15,0,España,a-coruna
valdovino-a-coruna-espana,Valdoviño,A Coruña,15,0,España,a-coruna
valga-a-coruna-espana,Valga,A Coruña,15,0,España,a-coruna
vedra-a-coruna-espana,Vedra,A Coruña,15,0,España,a-coruna
vilarmaior-a-coruna-espana,Vilarmaior,A Coruña,15,0,España,a-coruna
vilasantar-a-coruna-espana,Vilasantar,A Coruña,15,0,España,a-coruna
vimianzo-a-coruna-espana,Vimianzo,A Coruña,15,0,España,a-coruna
zas-a-coruna-espana,Zas,A Coruña,15,0,España,a-coruna
a-cruz-do-incio-lugo-espana,A Cruz Do Incio,Lugo,27,0,España,lugo
a-fonsagrada-lugo-espana,A Fonsagrada,Lugo,27,0,España,lugo
a-peroxa-lugo-espana,A Peroxa,Lugo,27,0,España,lugo
a-pobra-do-brollon-lugo-espana,A Pobra Do Brollón,Lugo,27,0,España,lugo
a-pontenova-lugo-espana,A Pontenova,Lugo,27,0,España,lugo
a-proba-lugo-espana,A Proba,Lugo,27,0,España,lugo
a-ribeira-de-piquin-lugo-espana,A Ribeira De Piquín,Lugo,27,0,España,lugo
a-seara-lugo-espana,A Seara,Lugo,27,0,España,lugo
abadin-lugo-espana,Abadín,Lugo,27,0,España,lugo
antas-de-ulla-lugo-espana,Antas De Ulla,Lugo,27,0,España,lugo
as-nogais-lugo-espana,As Nogais,Lugo,27,0,España,lugo
barreiros-lugo-espana,Barreiros,Lugo,27,27792,España,lugo
becerrea-lugo-espana,Becerreá,Lugo,27,0,España,lugo
begonte-lugo-espana,Begonte,Lugo,27,0,España,lugo
burela-lugo-espana,Burela,Lugo,27,27902,España,lugo
boveda-lugo-espana,Bóveda,Lugo,27,0,España,lugo
carballedo-lugo-espana,Carballedo,Lugo,27,0,España,lugo
castro-de-rei-lugo-espana,Castro De Rei,Lugo,27,0,España,lugo
castroverde-lugo-espana,Castroverde,Lugo,27,0,España,lugo
cervantes-lugo-espana,Cervantes,Lugo,27,0,España,lugo
cervo-lugo-espana,Cervo,Lugo,27,27013,España,lugo
chantada-lugo-espana,Chantada,Lugo,27,0,España,lugo
corgo-lugo-espana,Corgo,Lugo,27,0,España,lugo
folgoso-do-courel-lugo-espana,Folgoso Do Courel,Lugo,27,0,España,lugo
foz-lugo-espana,Foz,Lugo,27,27019,España,lugo
friol-lugo-espana,Friol,Lugo,27,0,España,lugo
guitiriz-lugo-espana,Guitiriz,Lugo,27,0,España,lugo
guntin-lugo-espana,Guntín,Lugo,27,0,España,lugo
guntin-de-pallares-lugo-espana,Guntín De Pallares,Lugo,27,0,España,lugo
ibias-lugo-espana,Ibias,Lugo,27,0,España,lugo
lugo-lugo-espana,Lugo,Lugo,27,0,España,lugo
lancara-lugo-espana,Láncara,Lugo,27,0,España,lugo
meira-lugo-espana,Meira,Lugo,27,0,España,lugo
mondonedo-lugo-espana,Mondoñedo,Lugo,27,0,España,lugo
monforte-de-lemos-lugo-espana,Monforte De Lemos,Lugo,27,0,España,lugo
monterroso-lugo-espana,Monterroso,Lugo,27,0,España,lugo
navia-de-suarna-lugo-espana,Navia De Suarna,Lugo,27,0,España,lugo
negueira-de-muniz-lugo-espana,Negueira De Muñiz,Lugo,27,0,España,lugo
o-castro-de-ferreira-lugo-espana,O Castro De Ferreira,Lugo,27,0,España,lugo
o-incio-lugo-espana,O Incio,Lugo,27,0,España,lugo
o-paramo-lugo-espana,O Páramo,Lugo,27,0,España,lugo
o-savinao-lugo-espana,O Saviñao,Lugo,27,0,España,lugo
o-valadouro-lugo-espana,O Valadouro,Lugo,27,0,España,lugo
o-vicedo-lugo-espana,O Vicedo,Lugo,27,27064,España,lugo
ourol-lugo-espana,Ourol,Lugo,27,0,España,lugo
outeiro-de-rei-lugo-espana,Outeiro De Rei,Lugo,27,0,España,lugo
palas-de-rei-lugo-espana,Palas De Rei,Lugo,27,0,España,lugo
panton-lugo-espana,Pantón,Lugo,27,0,España,lugo
paradela-lugo-espana,Paradela,Lugo,27,0,España,lugo
pastoriza-lugo-espana,Pastoriza,Lugo,27,0,España,lugo
piedrafita-del-cebrero-lugo-espana,Piedrafita Del Cebrero,Lugo,27,0,España,lugo
portomarin-lugo-espana,Portomarín,Lugo,27,0,España,lugo
quiroga-lugo-espana,Quiroga,Lugo,27,0,España,lugo
ribadeo-lugo-espana,Ribadeo,Lugo,27,27051,España,lugo
