id_uri,Name,lat,lon,concello,provincia,LUGAR_E_PARROQUIA,lon_gis,lat_gis,country,tipo_slug,pais,id_concello,id_provincia
castillos-concello-de-ourense-42.3355--7.8639,Concello De Ourense,42.335505,-7.863875,Ourense,Ourense,Casco Vello,-7.863875,42.335505,España,castillos,España,ourense-ourense-espana,ourense
castillos-gran-hotel-42.2262--8.466,Gran Hotel,42.2262179,-8.4659569,Mondariz Balneario,Pontevedra,O Pazo,-8.4659569,42.2262179,España,castillos,España,mondariz-balneario-pontevedra-espana,pontevedra
castillos-castillo-de-nogueirosa-o-de-los-andrade-43.3914--8.1358,Castillo De Nogueirosa O De Los Andrade,43.391446,-8.135832,Puentedeume,A Coruña,O Castelo,-8.135832,43.391446,España,castillos,España,puentedeume-a-coruna-espana,a-coruna
castillos-pazo-de-fefinans-42.5189--8.8133,Pazo De Fefiñáns,42.518899,-8.813329,Cambados,Pontevedra,Fefiñáns,-8.813329,42.518899,España,castillos,España,cambados-pontevedra-espana,pontevedra
castillos-castillo-de-vimianzo-43.1112--9.0318,Castillo De Vimianzo,43.111172,-9.031791,Vimianzo,A Coruña,Vilar,-9.031791,43.111172,España,castillos,España,vimianzo-a-coruna-espana,a-coruna
castillos-restos-de-antigua-fortaleza-42.2059--8.468,Restos De Antigua Fortaleza,42.205878,-8.468001,Mondariz,Pontevedra,A Pena,-8.468001,42.205878,España,castillos,España,mondariz-pontevedra-espana,pontevedra
castillos-castillo-de-rocha-forte-42.861--8.5732,Castillo De Rocha Forte,42.860952,-8.573154,Santiago De Compostela,A Coruña,A Rocha Vella,-8.573154,42.860952,España,castillos,España,santiago-de-compostela-a-coruna-espana,a-coruna
castillos-torres-de-altamira-42.8775--8.6876,Torres De Altamira,42.877527,-8.687644,Ames,A Coruña,Calo,-8.687644,42.877527,España,castillos,España,ames-a-coruna-espana,a-coruna
castillos-castillo-de-monforte-42.5241--7.5109,Castillo De Monforte,42.524123,-7.510893,Monforte De Lemos,Lugo,Entorno Rural,-7.510893,42.524123,España,castillos,España,monforte-de-lemos-lugo-espana,lugo
castillos-castillo-de-castro-caldelas-42.3759--7.4158,Castillo De Castro Caldelas,42.375902,-7.415758,O Castro De Caldelas,Ourense,O Real Da Pousa,-7.415758,42.375902,España,castillos,España,o-castro-de-caldelas-ourense-espana,ourense
castillos-torres-del-oeste-42.6761--8.7251,Torres Del Oeste,42.676135,-8.725112,Catoira,Pontevedra,O Progreso,-8.725112,42.676135,España,castillos,España,catoira-pontevedra-espana,pontevedra
castillos-pazo-de-mos-42.204--8.6061,Pazo De Mos,42.204037,-8.606102,Mos,Pontevedra,A Rúa,-8.606102,42.204037,España,castillos,España,mos-pontevedra-espana,pontevedra
castillos-castillo-de-torrenovaes-42.4504--7.2439,Castillo De Torrenovaes,42.450387,-7.243866,Quiroga,Lugo,Os Novais,-7.243866,42.450387,España,castillos,España,quiroga-lugo-espana,lugo
castillos-castillo-del-soberano-43.1237--9.1852,Castillo Del Soberano,43.123655,-9.185159,Camariñas,A Coruña,O Castelo,-9.185159,43.123655,España,castillos,España,camarinas-a-coruna-espana,a-coruna
castillos-castillo-de-san-carlos-42.9046--9.2609,Castillo De San Carlos,42.904601,-9.260876,Fisterra,A Coruña,A Insua,-9.260876,42.904601,España,castillos,España,fisterra-a-coruna-espana,a-coruna
castillos-castelo-de-cans-42.1616--8.587,Castelo De Cans,42.161558,-8.586957,Porriño,Pontevedra,A Buraca,-8.586957,42.161558,España,castillos,España,porrino-pontevedra-espana,pontevedra
castillos-torre-da-pena-da-portela-42.088--7.6727,Torre Da Pena Da Portela,42.088009,-7.672721,Sarreaus,Ourense,Trandeiras,-7.672721,42.088009,España,castillos,España,sarreaus-ourense-espana,ourense
castillos-torre-de-viana-do-bolo-42.1805--7.1157,Torre De Viana Do Bolo,42.180532,-7.115672,Viana Del Bollo,Ourense,El Castilllo,-7.115672,42.180532,España,castillos,España,viana-del-bollo-ourense-espana,ourense
castillos-torre-do-castro-42.1233--7.7442,Torre Do Castro,42.123264,-7.744227,Sandiás,Ourense,As Pegas,-7.744227,42.123264,España,castillos,España,sandias-ourense-espana,ourense
castillos-castillo-de-pambre-42.8598--7.9482,Castillo De Pambre,42.859824,-7.948195,Palas De Rei,Lugo,Pambre,-7.948195,42.859824,España,castillos,España,palas-de-rei-lugo-espana,lugo
castillos-castillo-fortaleza-de-monterreal-42.1245--8.8498,Castillo Fortaleza De Monterreal,42.124469,-8.849817,Baiona,Pontevedra,A Anunciada,-8.849817,42.124469,España,castillos,España,baiona-pontevedra-espana,pontevedra
castillos-pazo-de-tor-42.5688--7.5675,Pazo De Tor,42.56884,-7.567458,Monforte De Lemos,Lugo,Tor,-7.567458,42.56884,España,castillos,España,monforte-de-lemos-lugo-espana,lugo
