id_uri,Name,lat,lon,concello,provincia,LUGAR_E_PARROQUIA,lon_gis,lat_gis,country,tipo_slug,pais,id_concello,id_provincia
fervenzas-embalse-del-mao-o-encoro-de-leboreiro-42.3263--7.5229,Embalse Del Mao O Encoro De Leboreiro,42.326285,-7.522938,Montederramo,Ourense,As Poulas,-7.522938,42.326285,España,fervenzas,España,montederramo-ourense-espana,ourense
fervenzas-pozas-dos-cirolos-41.9351--8.0973,Pozas Dos Cirolos,41.9350665,-8.0972882,A Terrachán,Ourense,O Casal,-8.0972882,41.9350665,España,fervenzas,España,a-terrachan-ourense-espana,ourense
fervenzas-fervenza-pozo-caido-41.9519--8.0897,Fervenza Pozo Caído,41.9518643,-8.0896633,Entrimo,Ourense,Entorno Rural,-8.0896633,41.9518643,España,fervenzas,España,entrimo-ourense-espana,ourense
fervenzas-fervenza-y-molino-de-a-cena-o-del-xuliana-42.0836--8.4475,Fervenza Y Molino De A Ceña O Del Xuliana,42.083629,-8.44749,As Neves,Pontevedra,O Outeiro,-8.44749,42.083629,España,fervenzas,España,as-neves-pontevedra-espana,pontevedra
fervenzas-fervenza-do-toxa-42.757--8.272,Fervenza Do Toxa,42.757022,-8.271998,Silleda,Pontevedra,Quintás,-8.271998,42.757022,España,fervenzas,España,silleda-pontevedra-espana,pontevedra
fervenzas-fervenza-de-bouzafria-42.1891--8.6832,Fervenza De Bouzafría,42.189117,-8.683204,Vigo,Pontevedra,A Carboeira,-8.683204,42.189117,España,fervenzas,España,vigo-pontevedra-espana,pontevedra
fervenzas-fervenza-da-poza-da-moura-42.2972--8.6818,Fervenza Da Poza Da Moura,42.2972,-8.681784,Moaña,Pontevedra,Verdeal,-8.681784,42.2972,España,fervenzas,España,moana-pontevedra-espana,pontevedra
fervenzas-fervenza-de-vieiros-42.5693--7.0806,Fervenza De Vieiros,42.569306,-7.080565,Quiroga,Lugo,Vieiros,-7.080565,42.569306,España,fervenzas,España,quiroga-lugo-espana,lugo
fervenzas-fervenza-de-ezaro-42.9128--9.1171,Fervenza De Ezaro,42.912842,-9.11711,Dumbría,A Coruña,A Croa,-9.11711,42.912842,España,fervenzas,España,dumbria-a-coruna-espana,a-coruna
fervenzas-corga-da-fecha-41.8464--8.1101,Corga Da Fecha,41.846448,-8.110143,Lobios,Ourense,Entorno Rural,-8.110143,41.846448,España,fervenzas,España,lobios-ourense-espana,ourense
fervenzas-fervenza-de-touron-42.2721--8.227,Fervenza De Tourón,42.272082,-8.226989,Melón,Ourense,As Mestas,-8.226989,42.272082,España,fervenzas,España,melon-ourense-espana,ourense
fervenzas-fervenza-de-segade-42.606--8.6227,Fervenza De Segade,42.606,-8.622659,Caldas De Reis,Pontevedra,Segade De Arriba,-8.622659,42.606,España,fervenzas,España,caldas-de-reis-pontevedra-espana,pontevedra
fervenzas-parque-do-rio-barosa-42.5556--8.6308,Parque Do Río Barosa,42.555644,-8.630797,Barro,Pontevedra,Barro,-8.630797,42.555644,España,fervenzas,España,barro-pontevedra-espana,pontevedra
fervenzas-fervenza-de-sto-estevo-do-ermo-43.5214--7.2362,Fervenza De Sto Estevo Do Ermo,43.521405,-7.236234,Barreiros,Lugo,San Cosme,-7.236234,43.521405,España,fervenzas,España,barreiros-lugo-espana,lugo
fervenzas-fervenzas-do-cachon-42.3815--7.4626,Fervenzas Do Cachón,42.381546,-7.462556,A Teixeira,Ourense,A Carosa,-7.462556,42.381546,España,fervenzas,España,a-teixeira-ourense-espana,ourense
fervenzas-fervenza-do-vinao-42.4001--7.9841,Fervenza Do Viñao,42.400127,-7.984135,Amoeiro,Ourense,O Burguete,-7.984135,42.400127,España,fervenzas,España,amoeiro-ourense-espana,ourense
fervenzas-fervenza-da-galomeira-42.1684--8.5847,Fervenza Da Galomeira,42.168365,-8.584709,Porriño,Pontevedra,As Laxes,-8.584709,42.168365,España,fervenzas,España,porrino-pontevedra-espana,pontevedra
fervenzas-fervenzas-de-branas-42.9958--7.9475,Fervenzas De Brañas,42.995786,-7.947465,Toques,A Coruña,Arriba,-7.947465,42.995786,España,fervenzas,España,toques-a-coruna-espana,a-coruna
fervenzas-seimeira-de-vilagocende-43.0945--7.0477,Seimeira De Vilagocende,43.094495,-7.047692,A Fonsagrada,Lugo,Vilagocende,-7.047692,43.094495,España,fervenzas,España,a-fonsagrada-lugo-espana,lugo
fervenzas-fervenza-da-freixa-42.3823--8.4018,Fervenza Da Freixa,42.382275,-8.401775,A Lama,Pontevedra,Liñares,-8.401775,42.382275,España,fervenzas,España,a-lama-pontevedra-espana,pontevedra
fervenzas-fervenza-do-belelle-43.4817--8.1212,Fervenza Do Belelle,43.481713,-8.121235,Fene,A Coruña,Marraxón,-8.121235,43.481713,España,fervenzas,España,fene-a-coruna-espana,a-coruna
fervenzas-fervenza-de-a-roca-42.3789--8.5178,Fervenza De A Roca,42.378883,-8.517825,Ponte Caldelas,Pontevedra,A Roca,-8.517825,42.378883,España,fervenzas,España,ponte-caldelas-pontevedra-espana,pontevedra
fervenzas-fervenza-do-rego-da-palanca-43.2334--7.9858,Fervenza Do Rego Da Palanca,43.233439,-7.985762,Aranga,A Coruña,Pedramaior,-7.985762,43.233439,España,fervenzas,España,aranga-a-coruna-espana,a-coruna
fervenzas-fervenza-de-entrecruces-o-san-paio-43.1238--8.6789,Fervenza De Entrecruces O San Paio,43.123764,-8.678946,Carballo,A Coruña,Sabadín,-8.678946,43.123764,España,fervenzas,España,carballo-a-coruna-espana,a-coruna
fervenzas-encoro-de-albarellos-42.3999--8.1902,Encoro De Albarellos,42.399868,-8.190216,Leiro,Ourense,Nogueira,-8.190216,42.399868,España,fervenzas,España,leiro-ourense-espana,ourense
fervenzas-fervenza-del-rio-mira-43.0931--8.7678,Fervenza Del Río Mira,43.093069,-8.767821,Santa Comba,A Coruña,A Rabadeira,-8.767821,43.093069,España,fervenzas,España,santa-comba-a-coruna-espana,a-coruna
fervenzas-fervenza-de-rus-43.1578--8.6621,Fervenza De Rus,43.157791,-8.662054,Carballo,A Coruña,Ribeira,-8.662054,43.157791,España,fervenzas,España,carballo-a-coruna-espana,a-coruna
fervenzas-as-fervenzas-do-tronceda-43.4485--7.3624,As Fervenzas Do Tronceda,43.448489,-7.362426,Mondoñedo,Lugo,A Pontenova,-7.362426,43.448489,España,fervenzas,España,mondonedo-lugo-espana,lugo
fervenzas-presa-de-vincios-42.1538--8.7242,Presa De Vincios,42.153766,-8.724247,Gondomar,Pontevedra,A Fraga,-8.724247,42.153766,España,fervenzas,España,gondomar-pontevedra-espana,pontevedra
