id_uri,Name,lat,lon,concello,provincia,LUGAR_E_PARROQUIA,lon_gis,lat_gis,country,tipo_slug,pais,id_concello,id_provincia
iglesias-iglesia-de-santiago-de-taboada-42.6868--8.218,Iglesia De Santiago De Taboada,42.686844,-8.217989,Silleda,Pontevedra,Eirexe,-8.217989,42.686844,España,iglesias,España,silleda-pontevedra-espana,pontevedra
iglesias-iglesia-de-doade-42.4159--7.4822,Iglesia De Doade,42.4158768,-7.4821991,Sober,Lugo,Lobios,-7.4821991,42.4158768,España,iglesias,España,sober-lugo-espana,lugo
iglesias-iglesia-de-san-miguel-41.9043--8.084,Iglesia De San Miguel,41.9043292,-8.0839634,Fondevila,Ourense,Zapateiros,-8.0839634,41.9043292,España,iglesias,España,fondevila-ourense-espana,ourense
iglesias-monasterio-de-lobas-ruinas-42.4727--8.0538,Monasterio De Lobás (Ruinas),42.4726805,-8.0538108,O Carballiño,Ourense,Boedes,-8.0538108,42.4726805,España,iglesias,España,o-carballino-ourense-espana,ourense
iglesias-ermita-de-san-cibran-42.6487--8.7009,Ermita De San Cibrán,42.648741,-8.700862,Catoira,Pontevedra,Portocelo,-8.700862,42.648741,España,iglesias,España,catoira-pontevedra-espana,pontevedra
iglesias-iglesia-de-san-martino-de-sobran-42.5854--8.7866,Iglesia De San Martiño De Sobrán,42.5854048,-8.7866217,Vilaxoán,Pontevedra,O Castelete,-8.7866217,42.5854048,España,iglesias,España,vilaxoan-pontevedra-espana,pontevedra
iglesias-iglesia-de-san-xoan-de-rubios-42.1129--8.4227,Iglesia De San Xoán De Rubiós,42.112861,-8.42274,As Neves,Pontevedra,A Rata,-8.42274,42.112861,España,iglesias,España,as-neves-pontevedra-espana,pontevedra
iglesias-ermita-de-san-bartolome-42.1241--8.4284,Ermita De San Bartolomé,42.12409,-8.428434,As Neves,Pontevedra,A Rata,-8.428434,42.12409,España,iglesias,España,as-neves-pontevedra-espana,pontevedra
iglesias-iglesia-de-santiago-de-ribarteme-42.1078--8.3957,Iglesia De Santiago De Ribarteme,42.107779,-8.395653,As Neves,Pontevedra,A Costa,-8.395653,42.107779,España,iglesias,España,as-neves-pontevedra-espana,pontevedra
iglesias-ermita-de-santa-marina-area-recreativa-y-playa-fluvial-42.0817--8.4383,Ermita De Santa Mariña - Área Recreativa Y Playa Fluvial,42.08171,-8.438257,As Neves,Pontevedra,O Pedroso,-8.438257,42.08171,España,iglesias,España,as-neves-pontevedra-espana,pontevedra
iglesias-iglesia-san-xose-de-ribarteme-42.1152--8.3958,Iglesia San Xosé De Ribarteme,42.115153,-8.395787,As Neves,Pontevedra,Sancharredonda,-8.395787,42.115153,España,iglesias,España,as-neves-pontevedra-espana,pontevedra
iglesias-virxe-do-monte-43.1314--9.2039,Virxe Do Monte,43.131405,-9.203899,Camariñas,A Coruña,Lago,-9.203899,43.131405,España,iglesias,España,camarinas-a-coruna-espana,a-coruna
iglesias-iglesia-santa-eulalia-de-batallans-42.1575--8.4039,Iglesia Santa Eulalia De Batalláns,42.157538,-8.403906,As Neves,Pontevedra,O Coto,-8.403906,42.157538,España,iglesias,España,as-neves-pontevedra-espana,pontevedra
iglesias-iglesia-santa-maria-de-taboexa-42.125--8.4309,Iglesia Santa María De Taboexa,42.125005,-8.430887,As Neves,Pontevedra,A Rata,-8.430887,42.125005,España,iglesias,España,as-neves-pontevedra-espana,pontevedra
iglesias-iglesia-de-santiago-maior-de-bembrive-42.2039--8.6867,Iglesia De Santiago Maior De Bembrive,42.203902,-8.68672,Vigo,Pontevedra,Os Ríos,-8.68672,42.203902,España,iglesias,España,vigo-pontevedra-espana,pontevedra
iglesias-iglesia-de-santa-maria-de-arbo-42.1152--8.3155,Iglesia De Santa María De Arbo,42.115244,-8.315454,O Pazo,Pontevedra,A Granxa,-8.315454,42.115244,España,iglesias,España,o-pazo-pontevedra-espana,pontevedra
iglesias-san-andres-de-teixido-149-m-43.709--7.9842,San Andrés De Teixido (149 M),43.708982,-7.984193,Cedeira,A Coruña,Santo André De Teixido,-7.984193,43.708982,España,iglesias,España,cedeira-a-coruna-espana,a-coruna
iglesias-templo-votivo-del-mar-42.1456--8.8233,Templo Votivo Del Mar,42.145633,-8.823348,Nigrán,Pontevedra,A Madorra,-8.823348,42.145633,España,iglesias,España,nigran-pontevedra-espana,pontevedra
iglesias-virxe-da-barca-43.1122--9.2198,Virxe Da Barca,43.112234,-9.219764,Muxía,A Coruña,A Gurita,-9.219764,43.112234,España,iglesias,España,muxia-a-coruna-espana,a-coruna
iglesias-iglesia-de-sta-comba-42.8232--9.0906,Iglesia De Sta Comba,42.823224,-9.090588,Carnota,A Coruña,Pedramarrada,-9.090588,42.823224,España,iglesias,España,carnota-a-coruna-espana,a-coruna
iglesias-iglesia-de-san-xurxo-43.5486--7.9931,Iglesia De San Xurxo,43.54862,-7.993063,Moeche,A Coruña,Rañal,-7.993063,43.54862,España,iglesias,España,moeche-a-coruna-espana,a-coruna
iglesias-sta-baia-de-ribadumia-42.5158--8.7602,Sta Baia De Ribadumia,42.515778,-8.760215,A Escusa,Pontevedra,A Figueira,-8.760215,42.515778,España,iglesias,España,a-escusa-pontevedra-espana,pontevedra
iglesias-catedral-de-santiago-42.8806--8.5447,Catedral De Santiago,42.880559,-8.544702,Santiago De Compostela,A Coruña,O Ensanche,-8.544702,42.880559,España,iglesias,España,santiago-de-compostela-a-coruna-espana,a-coruna
iglesias-ermita-de-la-guia-42.2555--8.7019,Ermita De La Guía,42.255482,-8.701851,Vigo,Pontevedra,Fontáns,-8.701851,42.255482,España,iglesias,España,vigo-pontevedra-espana,pontevedra
iglesias-capela-de-san-roque-43.6828--7.9942,Capela De San Roque,43.682828,-7.994218,Cedeira,A Coruña,O Formigueiro,-7.994218,43.682828,España,iglesias,España,cedeira-a-coruna-espana,a-coruna
iglesias-sta-baia-de-arano-42.6937--8.8003,Sta. Baia De Araño,42.693732,-8.800276,Rianxo,A Coruña,O Agro Da Moa,-8.800276,42.693732,España,iglesias,España,rianxo-a-coruna-espana,a-coruna
iglesias-ermita-da-clamadoira-41.9468--7.9876,Ermita Da Clamadoira,41.94682,-7.987636,Mugueimes,Ourense,As Carreiras,-7.987636,41.94682,España,iglesias,España,mugueimes-ourense-espana,ourense
