id_uri,Name,lat,lon,concello,provincia,LUGAR_E_PARROQUIA,lon_gis,lat_gis,country,tipo_slug,pais,id_concello,id_provincia
otros-museo-galego-das-marionetas-42.6801--8.1917,Museo Galego Das Marionetas,42.6801067,-8.1916755,Lalín,Pontevedra,O Alto Da Pena,-8.1916755,42.6801067,España,otros,España,lalin-pontevedra-espana,pontevedra
otros-museo-muncipal-ramon-maria-aller-42.6613--8.1133,"Museo Muncipal ""Ramón María Aller""",42.6612873,-8.1133192,Lalín,Pontevedra,Feás,-8.1133192,42.6612873,España,otros,España,lalin-pontevedra-espana,pontevedra
otros-colegio-jesuita-41.8886--8.8509,Colegio Jesuita,41.8886407,-8.8509035,A Guarda,Pontevedra,A Pasaxe,-8.8509035,41.8886407,España,otros,España,a-guarda-pontevedra-espana,pontevedra
otros-melgaco-conjunto-historico-42.114--8.2603,Melgaço Conjunto Histórico,42.1140375,-8.2603146,Melgaço,Viana Do Castelo,Senhora Da Oliveira,-8.2603146,42.1140375,Portugal,otros,Portugal,melgaco-viana-do-castelo-portugal,viana-do-castelo
otros-termas-de-melgaco-42.1067--8.2824,Termas De Melgaço,42.1066682,-8.2823664,Melgaço,Viana Do Castelo,Cruzeiro E Folia,-8.2823664,42.1066682,Portugal,otros,Portugal,melgaco-viana-do-castelo-portugal,viana-do-castelo
otros-casa-do-arco-43.2218--9.0058,Casa Do Arco,43.221824,-9.0057756,Laxe,A Coruña,As Rías,-9.0057756,43.221824,España,otros,España,laxe-a-coruna-espana,a-coruna
otros-san-clodio-43.0818--7.541,San Clodio,43.0817761,-7.5410134,Outeiro De Rei,Lugo,San Clodio,-7.5410134,43.0817761,España,otros,España,outeiro-de-rei-lugo-espana,lugo
otros-museo-man-de-camelle-43.1842--9.0912,Museo Man De Camelle,43.1842108,-9.0912154,Camariñas,A Coruña,Monte Novo,-9.0912154,43.1842108,España,otros,España,camarinas-a-coruna-espana,a-coruna
otros-sanatorio-de-cesuras-43.1804--8.193,Sanatorio De Cesuras,43.1804009,-8.1929578,Cesuras,A Coruña,O Lameiro,-8.1929578,43.1804009,España,otros,España,cesuras-a-coruna-espana,a-coruna
otros-allariz-42.1898--7.8022,Allariz,42.1897763,-7.802215,Allariz,Ourense,San Lázaro,-7.802215,42.1897763,España,otros,España,allariz-ourense-espana,ourense
otros-arabo-centro-de-interpretacion-42.1129--8.3078,"Árabo, Centro De Interpretación",42.1128954,-8.3078349,O Pazo,Pontevedra,San Bieito,-8.3078349,42.1128954,España,otros,España,o-pazo-pontevedra-espana,pontevedra
otros-antigua-central-43.0801--7.6311,Antigua Central,43.0800695,-7.6311337,Outeiro De Rei,Lugo,Piago,-7.6311337,43.0800695,España,otros,España,outeiro-de-rei-lugo-espana,lugo
otros-barrio-de-san-tome-do-mar-42.508--8.8194,Barrio De San Tomé Do Mar,42.5079532,-8.8193677,Cambados,Pontevedra,A Alameda Vella,-8.8193677,42.5079532,España,otros,España,cambados-pontevedra-espana,pontevedra
otros-conjunto-historico-de-ribadavia-42.2872--8.1431,Conjunto Histórico De Ribadavia,42.2872073,-8.1430976,Ribadavia,Ourense,Figueirido,-8.1430976,42.2872073,España,otros,España,ribadavia-ourense-espana,ourense
otros-cargadero-de-mineral-42.2877--8.6533,Cargadero De Mineral,42.2876704,-8.6533281,Redondela,Pontevedra,Rande,-8.6533281,42.2876704,España,otros,España,redondela-pontevedra-espana,pontevedra
otros-caleiro-de-pardollan-42.446--6.8225,Caleiro De Pardollán,42.4460263,-6.8224512,Rubiá,Ourense,Pardollán,-6.8224512,42.4460263,España,otros,España,rubia-ourense-espana,ourense
otros-casa-torre-de-escuredo-42.4933--8.8658,Casa Torre De Escuredo,42.4932685,-8.8657737,O Grove,Pontevedra,A Vilavella,-8.8657737,42.4932685,España,otros,España,o-grove-pontevedra-espana,pontevedra
otros-esculturas-de-monte-torroso-41.9378--8.8791,Esculturas De Monte Torroso,41.9378297,-8.8791342,A Guarda,Pontevedra,Rosentes,-8.8791342,41.9378297,España,otros,España,a-guarda-pontevedra-espana,pontevedra
otros-monumento-a-milladoiro-42.1607--8.7625,Monumento A Milladoiro,42.1607101,-8.76249,Nigrán,Pontevedra,As Tomadas,-8.76249,42.1607101,España,otros,España,nigran-pontevedra-espana,pontevedra
otros-granja-romanica-de-paradela-42.4098--8.1274,Granja Románica De Paradela,42.409822,-8.1273842,Boborás,Ourense,Paradela,-8.1273842,42.409822,España,otros,España,boboras-ourense-espana,ourense
otros-minas-de-brues-42.4575--8.1516,Minas De Brués,42.4574661,-8.1516151,Boborás,Ourense,Santa Isabel,-8.1516151,42.4574661,España,otros,España,boboras-ourense-espana,ourense
otros-termas-de-o-banino-42.3702--7.997,Termas De O Bañiño,42.3701679,-7.9969888,A Forxa,Ourense,As Quintás,-7.9969888,42.3701679,España,otros,España,a-forxa-ourense-espana,ourense
otros-balneario-augas-ferreas-42.2233--8.2717,Balneario Augas Férreas,42.2233466,-8.27172,A Caniza,Pontevedra,O Rial,-8.27172,42.2233466,España,otros,España,a-caniza-pontevedra-espana,pontevedra
otros-minas-de-san-finx-lousame-42.753--8.8216,Minas De San Finx (Lousame),42.7530288,-8.8215599,Lousame,A Coruña,As Minas De San Fins,-8.8215599,42.7530288,España,otros,España,lousame-a-coruna-espana,a-coruna
otros-minas-de-wolframio-42.792--8.8566,Minas De Wolframio,42.7919953,-8.8566474,Portobravo,A Coruña,As Bouciñas,-8.8566474,42.7919953,España,otros,España,portobravo-a-coruna-espana,a-coruna
otros-plano-inclinado-42.4128--7.651,Plano Inclinado,42.4127768,-7.6509736,Nogueira De Ramuín,Ourense,O Miradoiro,-7.6509736,42.4127768,España,otros,España,nogueira-de-ramuin-ourense-espana,ourense
otros-museo-privado-de-vilar-42.5516--7.2333,Museo Privado De Vilar,42.5516063,-7.2333157,Folgoso Do Courel,Lugo,Vilar,-7.2333157,42.5516063,España,otros,España,folgoso-do-courel-lugo-espana,lugo
otros-parque-de-fabricacion-de-dolos-43.72--7.4728,Parque De Fabricación De Dolos,43.7199758,-7.4727748,Xove,Lugo,O Alto De Lago,-7.4727748,43.7199758,España,otros,España,xove-lugo-espana,lugo
